2020-02-20 02:37:03.735 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'brokerChannelExecutor'
2020-02-20 02:37:03.825 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [templates/index.html]
2020-02-20 02:37:03.904 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Starting...
2020-02-20 02:37:03.905 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-02-20 02:37:03.905 [main] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Started.
2020-02-20 02:37:03.909 [MessageBroker-1] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出1
2020-02-20 02:37:03.938 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8990 (http) with context path ''
2020-02-20 02:37:03.941 [main] INFO  com.allwayz.freeseed.FreeseedApplication - Started FreeseedApplication in 1.65 seconds (JVM running for 2.078)
2020-02-20 02:37:04.913 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出2
2020-02-20 02:37:05.913 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出3
2020-02-20 02:37:06.883 [http-nio-8990-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-02-20 02:37:06.883 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-02-20 02:37:06.887 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-02-20 02:37:06.912 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出4
2020-02-20 02:37:07.913 [MessageBroker-1] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出5
2020-02-20 02:37:08.912 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出6
2020-02-20 02:37:09.914 [MessageBroker-2] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出7
2020-02-20 02:37:10.911 [MessageBroker-3] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出8
2020-02-20 02:37:11.910 [MessageBroker-7] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出9
2020-02-20 02:37:12.912 [MessageBroker-5] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出10
2020-02-20 02:37:13.912 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出11
2020-02-20 02:37:14.913 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出12
2020-02-20 02:37:15.911 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出13
2020-02-20 02:37:16.912 [MessageBroker-6] INFO  com.allwayz.freeseed.FreeseedApplication - 测试日志输出14
2020-02-20 02:37:17.724 [SpringContextShutdownHook] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopping...
